nm, %T
1112.000000, 97.113589
1110.000000, 96.886352
1108.000000, 96.617370
1106.000000, 96.388654
1104.000000, 96.111450
1102.000000, 95.837144
1100.000000, 95.617285
1098.000000, 95.316628
1096.000000, 94.993424
1094.000000, 94.719655
1092.000000, 94.403408
1090.000000, 94.099578
1088.000000, 93.805940
1086.000000, 93.474724
1084.000000, 93.140853
1082.000000, 92.823897
1080.000000, 92.470671
1078.000000, 92.118880
1076.000000, 91.768401
1074.000000, 91.431837
1072.000000, 91.080085
1070.000000, 90.704369
1068.000000, 90.362683
1066.000000, 89.966828
1064.000000, 89.581557
1062.000000, 89.274470
1060.000000, 88.881943
1058.000000, 88.464104
1056.000000, 88.136029
1054.000000, 87.736986
1052.000000, 87.337905
1050.000000, 87.009954
1048.000000, 86.580424
1046.000000, 86.199032
1044.000000, 85.864755
1042.000000, 85.451230
1040.000000, 85.073529
1038.000000, 84.706089
1036.000000, 84.310524
1034.000000, 83.947295
1032.000000, 83.582296
1030.000000, 83.208724
1028.000000, 82.822283
1026.000000, 82.439897
1024.000000, 82.110660
1022.000000, 81.726880
1020.000000, 81.362579
1018.000000, 81.058660
1016.000000, 80.667839
1014.000000, 80.319662
1012.000000, 80.037163
1010.000000, 79.642539
1008.000000, 79.321335
1006.000000, 79.047605
1004.000000, 78.713607
1002.000000, 78.404994
1000.000000, 78.078831
998.000000, 77.761360
996.000000, 77.493315
994.000000, 77.199557
992.000000, 76.921202
990.000000, 76.648485
988.000000, 76.344903
986.000000, 76.119379
984.000000, 75.863842
982.000000, 75.566402
980.000000, 75.381490
978.000000, 75.173003
976.000000, 74.918400
974.000000, 74.738114
972.000000, 74.532319
970.000000, 74.285911
968.000000, 74.139595
966.000000, 73.992510
964.000000, 73.791177
962.000000, 73.649106
960.000000, 73.504512
958.000000, 73.358247
956.000000, 73.241484
954.000000, 73.127992
952.000000, 72.990026
950.000000, 72.916206
948.000000, 72.863876
946.000000, 72.793209
944.000000, 72.733254
942.000000, 72.667344
940.000000, 72.624932
938.000000, 72.614921
936.000000, 72.587863
934.000000, 72.593171
932.000000, 72.614026
930.000000, 72.636440
928.000000, 72.653249
926.000000, 72.710548
924.000000, 72.764329
922.000000, 72.817039
920.000000, 72.927704
918.000000, 73.044779
916.000000, 73.124061
914.000000, 73.239965
912.000000, 73.413724
910.000000, 73.568492
908.000000, 73.719637
906.000000, 73.933412
904.000000, 74.116631
902.000000, 74.303330
900.000000, 74.561718
898.000000, 74.818996
896.000000, 75.038693
894.000000, 75.310809
892.000000, 75.623968
890.000000, 75.914308
888.000000, 76.233381
886.000000, 76.563689
884.000000, 76.900114
882.000000, 77.276074
880.000000, 77.661717
878.000000, 78.059433
876.000000, 78.452635
874.000000, 78.879316
872.000000, 79.310461
870.000000, 79.765049
868.000000, 80.252838
866.000000, 80.744567
864.000000, 81.252148
862.000000, 81.774668
860.000000, 82.739719
858.000000, 83.300368
856.000000, 83.897618
854.000000, 84.176306
852.000000, 84.631012
850.000000, 85.473074
848.000000, 86.189565
846.000000, 86.634848
844.000000, 87.208656
842.000000, 87.859480
840.000000, 88.550390
838.000000, 89.098734
836.000000, 89.682595
834.000000, 90.444976
832.000000, 90.923569
830.000000, 91.604308
828.000000, 92.227607
826.000000, 92.857488
824.000000, 93.353597
822.000000, 93.977554
820.000000, 94.528240
818.000000, 95.162427
816.000000, 95.763218
814.000000, 96.179930
812.000000, 96.727894
810.000000, 97.195127
808.000000, 97.602410
806.000000, 98.006809
804.000000, 98.371431
802.000000, 98.712945
800.000000, 99.055867
798.000000, 99.358923
796.000000, 99.586551
794.000000, 99.829146
792.000000, 99.888382
790.000000, 100.026675
788.000000, 100.082650
786.000000, 100.088379
784.000000, 100.030065
782.000000, 99.985106
780.000000, 99.822202
778.000000, 99.627725
776.000000, 99.335992
774.000000, 99.039197
772.000000, 98.711680
770.000000, 98.280216
768.000000, 97.904715
766.000000, 97.407823
764.000000, 96.889157
762.000000, 96.348470
760.000000, 95.674902
758.000000, 95.005835
756.000000, 94.329581
754.000000, 93.640788
752.000000, 92.900433
750.000000, 92.174546
748.000000, 91.395982
746.000000, 90.572691
744.000000, 89.764295
742.000000, 88.894932
740.000000, 88.083015
738.000000, 87.319606
736.000000, 86.453731
734.000000, 85.573246
732.000000, 84.733216
730.000000, 83.885179
728.000000, 83.059911
726.000000, 82.254222
724.000000, 81.467048
722.000000, 80.709337
720.000000, 79.961397
718.000000, 79.240412
716.000000, 78.499328
714.000000, 77.827487
712.000000, 77.169562
710.000000, 76.534537
708.000000, 75.939625
706.000000, 75.404145
704.000000, 74.878372
702.000000, 74.402798
700.000000, 73.917437
698.000000, 73.501352
696.000000, 73.134715
694.000000, 72.811646
692.000000, 72.499843
690.000000, 72.238584
688.000000, 72.027800
686.000000, 71.895679
684.000000, 71.822451
682.000000, 71.779052
680.000000, 71.769455
678.000000, 71.786266
676.000000, 71.840157
674.000000, 71.977810
672.000000, 72.212398
670.000000, 72.457108
668.000000, 72.742026
666.000000, 73.082236
664.000000, 73.468044
662.000000, 73.904957
660.000000, 74.420736
658.000000, 75.012910
656.000000, 75.668437
654.000000, 76.372032
652.000000, 77.153204
650.000000, 77.981787
648.000000, 78.847549
646.000000, 79.752431
644.000000, 80.705939
642.000000, 81.714219
640.000000, 82.783189
638.000000, 83.916649
636.000000, 85.085444
634.000000, 86.244558
632.000000, 87.426882
630.000000, 88.624616
628.000000, 89.798089
626.000000, 91.016616
624.000000, 92.232239
622.000000, 93.375246
620.000000, 94.486705
618.000000, 95.577945
616.000000, 96.594942
614.000000, 97.501284
612.000000, 98.259844
610.000000, 98.884989
608.000000, 99.423709
606.000000, 99.830650
604.000000, 100.032354
602.000000, 100.034326
600.000000, 99.867669
598.000000, 99.554362
596.000000, 99.059471
594.000000, 98.408317
592.000000, 97.611676
590.000000, 96.632718
588.000000, 95.509329
586.000000, 94.295705
584.000000, 92.969497
582.000000, 91.558285
580.000000, 90.082023
578.000000, 88.534189
576.000000, 86.956932
574.000000, 85.375971
572.000000, 83.824226
570.000000, 82.292820
568.000000, 80.813802
566.000000, 79.404194
564.000000, 78.044675
562.000000, 76.815773
560.000000, 75.672852
558.000000, 74.569024
556.000000, 73.571505
554.000000, 72.681852
552.000000, 71.913290
550.000000, 71.286232
548.000000, 70.788178
546.000000, 70.423241
544.000000, 70.198543
542.000000, 70.135506
540.000000, 70.210176
538.000000, 70.444471
536.000000, 70.844724
534.000000, 71.409961
532.000000, 72.129198
530.000000, 72.995186
528.000000, 74.041104
526.000000, 75.251648
524.000000, 76.628082
522.000000, 78.146365
520.000000, 79.831224
518.000000, 81.691084
516.000000, 83.633798
514.000000, 85.650560
512.000000, 87.739705
510.000000, 89.833476
508.000000, 91.899293
506.000000, 93.881389
504.000000, 95.700368
502.000000, 97.309028
500.000000, 98.591105
498.000000, 99.488713
496.000000, 99.940753
494.000000, 99.857141
492.000000, 99.266866
490.000000, 98.166865
488.000000, 96.601658
486.000000, 94.640791
484.000000, 92.313369
482.000000, 89.765803
480.000000, 87.161764
478.000000, 84.548811
476.000000, 81.953036
474.000000, 79.453542
472.000000, 77.088059
470.000000, 74.920482
468.000000, 72.992166
466.000000, 71.354523
464.000000, 70.021859
462.000000, 68.996525
460.000000, 68.314193
458.000000, 67.999134
456.000000, 68.035546
454.000000, 68.469202
452.000000, 69.320217
450.000000, 70.612513
448.000000, 72.334281
446.000000, 74.468828
444.000000, 77.043321
442.000000, 79.996127
440.000000, 83.273961
438.000000, 86.759440
436.000000, 90.283058
434.000000, 93.584651
432.000000, 96.446701
430.000000, 98.542538
428.000000, 99.575314
426.000000, 99.368998
424.000000, 97.910227
422.000000, 95.251066
420.000000, 91.756926
418.000000, 87.602309
416.000000, 83.252722
414.000000, 78.952081
412.000000, 74.983525
410.000000, 71.569518
408.000000, 68.759333
406.000000, 66.756515
404.000000, 65.532784
402.000000, 65.179602
400.000000, 65.716115
398.000000, 67.237871
396.000000, 69.772114
394.000000, 73.346180
392.000000, 77.929829
390.000000, 83.201625
388.000000, 88.745495
386.000000, 93.819545
384.000000, 97.214417
382.000000, 97.918753
380.000000, 95.371369
378.000000, 89.202366
376.000000, 82.303865
374.000000, 75.319974
372.000000, 69.005069
370.000000, 64.067938
368.000000, 60.676726
366.000000, 59.151316
364.000000, 59.464901
362.000000, 61.653060
360.000000, 65.476780
358.000000, 70.101777
356.000000, 73.645027
354.000000, 73.794120
352.000000, 69.070417
350.000000, 60.610382
348.000000, 50.976098
346.000000, 42.541492
344.000000, 36.238854
342.000000, 31.723082
340.000000, 28.385958
338.000000, 25.356548
336.000000, 22.063459
334.000000, 18.197315
332.000000, 14.090617
330.000000, 10.403007
328.000000, 7.440325
326.000000, 5.243226
324.000000, 3.624458
322.000000, 2.419925
320.000000, 1.566287
318.000000, 1.063336
316.000000, 0.648574
314.000000, 0.379852
312.000000, 0.217179
310.000000, 0.102546
308.000000, 0.049823
306.000000, 0.024868
304.000000, -0.004141
302.000000, -0.005268
300.000000, -0.007661
298.000000, -0.016962
296.000000, -0.008029
294.000000, -0.016326
292.000000, -0.009552
290.000000, -0.011928
288.000000, -0.012695
286.000000, -0.008921
284.000000, -0.010179
282.000000, -0.024260
280.000000, -0.008920
